ID,First Name,Last Name,Basic Salary,Housing Allowance,Transportation Allowance,Medical Allowance,Gross Salary,Net Salary
1,Elizabeth,Ellis,-146957,8038,4659,4457,-129803.0,-110332.55
2,William,Stone,97558,17890,4639,4632,124719.0,106011.15
3,Madison,Kramer,68135,15774,3222,1494,88625.0,75331.25
4,Angelica,Case,115923,13829,8979,4664,143395.0,121885.75
5,Nicholas,Heath,58052,15554,5253,3594,82453.0,70085.05
6,Tanner,Waller,123105,11325,9538,1907,145875.0,123993.75
7,Cody,Cohen,87117,11740,5690,2461,107008.0,90956.8
8,Jeffrey,Bell,134172,14166,5463,1565,155366.0,132061.1
9,Melody,Bryant,52062,14217,2071,2566,70916.0,60278.6
10,Erin,Villarreal,72237,14597,3010,2147,91991.0,78192.35
11,Thomas,Fernandez,110749,7068,5576,3434,126827.0,107802.95
12,Danny,Shaffer,96565,10667,7630,3355,118217.0,100484.45
13,Heather,Kirby,128848,14277,9787,4181,157093.0,133529.05
14,Andrew,Russo,46480,18426,2465,3940,71311.0,60614.35
15,Jonathan,Jones,85365,13051,8142,1146,107704.0,91548.4
16,Cheyenne,Johnson,60970,12126,7154,1017,81267.0,69076.95
17,James,Howard,110446,18673,4392,3324,136835.0,116309.75
18,Michael,Moon,93945,19657,6352,3753,123707.0,105150.95
19,Cynthia,Howell,94129,7709,8203,1527,111568.0,94832.8
20,Sharon,Chen,126784,15908,7581,2375,152648.0,129750.8
21,Joyce,Diaz,80828,19716,6440,4753,111737.0,94976.45
22,Laura,Monroe,96006,5859,5858,1432,109155.0,92781.75
23,Kayla,Simpson,78894,11964,7205,4013,102076.0,86764.6
24,Christopher,Randall,112140,13474,3255,2946,131815.0,112042.75
25,Cynthia,Peterson,74804,11543,9117,1968,97432.0,82817.2
26,Randy,Christensen,123226,16983,4279,3159,147647.0,125499.95
27,Sara,Reynolds,146620,11307,3016,4218,165161.0,140386.85
28,Evelyn,Reyes,131440,18202,9837,3569,163048.0,138590.8
29,Veronica,Foley,49240,12472,8395,4090,74197.0,63067.45
30,Jennifer,Krueger,121137,17250,3561,4471,146419.0,124456.15
31,Scott,Robinson,131061,16605,5522,4365,157553.0,133920.05
32,Rebekah,Snow,100669,15369,8077,2528,126643.0,107646.55
33,Tammy,Schaefer,97642,16838,2466,2525,119471.0,101550.35
34,Nicole,Atkins,106438,12289,5369,1239,125335.0,106534.75
35,Michael,Guerra,137557,17432,8769,2063,165821.0,140947.85
36,Edward,Lawson,38035,5098,5050,2753,50936.0,43295.6
37,Nicole,Wood,124091,12577,7949,3089,147706.0,125550.1
38,Frances,Douglas,55629,13508,2347,2326,73810.0,62738.5
39,Kristin,Brown,115404,12225,7218,1439,136286.0,115843.1
40,Christopher,Maldonado,34492,19499,9781,4029,67801.0,57630.85
41,Victor,Collins,102226,18196,7532,3580,131534.0,111803.9
42,Michael,Richards,44224,19392,9929,4206,77751.0,66088.35
43,Ralph,Willis,75510,14443,2844,3158,95955.0,81561.75
44,Christopher,Barnett,76044,8726,4331,2872,91973.0,78177.05
45,Thomas,Wilson,116279,7154,5069,4163,132665.0,112765.25
46,Sabrina,Johnson,50185,19093,6039,1007,76324.0,64875.4
47,Diane,Newman,114396,6896,9853,2096,133241.0,113254.85
